c_ClaveProdServ,Descripción,Palabras similares,Material Peligroso,FechaInicioVigencia,FechaFinVigencia
40151507,Bombas de irrigación,,0,17/07/2024,
40151508,Bombas de barro,,0,17/07/2024,
40151509,Bombas recíprocas,,0,17/07/2024,
40151510,Bombas de agua,,0,17/07/2024,
40151511,Bombas para pozos,,0,17/07/2024,
40151512,Bombas para sumideros,,0,17/07/2024,
40151513,Bombas sumergibles,,0,17/07/2024,
40151514,Bombas de vapor,,0,17/07/2024,
40151515,Bombas solenoides,,0,17/07/2024,
40151516,Bombas de corte,,0,17/07/2024,
40151517,Bombas de alcantarillado,,0,17/07/2024,
40151518,Bombas no selladas,,0,17/07/2024,
40151519,Bombas sanitarias,,0,17/07/2024,
40151520,Bombas de muestreo,,0,17/07/2024,
40151521,Bombas giratorias,,0,17/07/2024,
40151522,Bombas de osmosis inversa,,0,17/07/2024,
40151523,Bombas de desplazamiento positivo,,0,17/07/2024,
40151524,Bombas de aceite,,0,17/07/2024,
40151525,Bombas de lodo,,0,17/07/2024,
40151526,Bombas de turbina,,0,17/07/2024,
40151527,Bombas de émbolo,,0,17/07/2024,
40151528,Bombas oscilantes,,0,17/07/2024,
40151529,Bombas de tambor,,0,17/07/2024,
40151530,Bombas de dragado,,0,17/07/2024,
40151531,Bombas para remover agua,,0,17/07/2024,
40151532,Bombas de combustible,,0,17/07/2024,
40151533,Bombas hidráulicas,,0,17/07/2024,
40151534,Bombas criogénicas,,0,17/07/2024,
40151546,Bombas de partición axial,,0,17/07/2024,
40151547,Bombas de pozo profundo,,0,17/07/2024,
40151548,Bombas de diafragma,,0,17/07/2024,
40151549,Bombas de doble diafragma,,0,17/07/2024,
40151550,Bombas dúplex,,0,17/07/2024,
40151551,Bombas de engranaje,,0,17/07/2024,
40151552,Bombas de metraje o inyección o proporcionales,,0,17/07/2024,
40151553,Bombas de cavidad progresiva,,0,17/07/2024,
40151554,Bombas de pistón,,0,17/07/2024,
40151555,Bombas de resalte rotatorias,,0,17/07/2024,
40151556,Bombas de leva rotatorias,,0,17/07/2024,
40151557,Bombas de pistón rotatorias,,0,17/07/2024,
40151558,Bombas de tuerca,,0,17/07/2024,
40151559,Bombas simplex,,0,17/07/2024,
40151560,Bombas de paleta deslizante,,0,17/07/2024,
40151561,Bombas triplex,,0,17/07/2024,
40151562,Bombas de tornillo,,0,17/07/2024,
40151563,Sets de bombas contra incendio,,0,17/07/2024,
40151564,Bombas químicas,,0,17/07/2024,
40151565,Bombas de macerar,,0,17/07/2024,
40151566,Bomba elevadora de presión,,0,17/07/2024,
40151567,Bomba de alta temperatura,,0,17/07/2024,
40151568,Bomba de pulpa,,0,17/07/2024,
40151569,Bomba monoflex,,0,17/07/2024,
40151570,Bomba de flujo mixto,,0,17/07/2024,
40151571,Bomba longitudinal,,0,17/07/2024,
40151572,Bomba de elevación de aire,,0,17/07/2024,
40151573,Bomba de magneto,,0,17/07/2024,
40151574,Bomba eyectora,,0,17/07/2024,
40151575,Bomba enfriadora sin cepillo,,0,17/07/2024,
40151576,Bomba eléctrica,,0,17/07/2024,
40151577,Bomba de lechada,,0,17/07/2024,
40151578,Bomba de aire para buceo,,0,17/07/2024,
40151579,Bomba de gravedad,,0,17/07/2024,
40151580,Bomba lubricante,,0,17/07/2024,
40151600,Compresores,,0,17/07/2024,
40151601,Compresores de aire,,0,17/07/2024,
40151602,Compresores de flujo axiales,,0,17/07/2024,
40151603,Compresores de diafragma,,0,17/07/2024,
40151604,Compresores de gas,,0,17/07/2024,
40151605,Compresores de motor,,0,17/07/2024,
40151606,Compresores recíprocos,,0,17/07/2024,
40151607,Compresores refrigerantes,,0,17/07/2024,
40151608,Compresores rotativos,,0,17/07/2024,
40151609,Compresores de tuerca,,0,17/07/2024,
40151611,Compresores de barril,,0,17/07/2024,
40151612,Compresores centrífugos,,0,17/07/2024,
40151613,Compresores de combinación,,0,17/07/2024,
40151614,Compresores semi radiales,,0,17/07/2024,
40151615,Turbo compresores,,0,17/07/2024,
40151616,Kits de compresores,,0,17/07/2024,
40151700,Piezas y accesorios de bomba,,0,17/07/2024,
40151701,Carcasas para bombas,,0,17/07/2024,
40151712,Empaques para bombas,,0,17/07/2024,
40151713,Revestimientos para bombas,,0,17/07/2024,
40151714,Barriles para bombas,,0,17/07/2024,
40151715,Poleas para bombas,,0,17/07/2024,
40151716,Cabezas para bombas,,0,17/07/2024,
40151717,Discos para bombas,,0,17/07/2024,
40151718,Partes de repuesto para bombas de lodo,,0,17/07/2024,
40151719,Partes de repuesto para bombas de alcantarillado,,0,17/07/2024,
40151720,Partes de repuesto para bombas sumergibles,,0,17/07/2024,
40151721,Partes de repuesto para bombas de agua,,0,17/07/2024,
40151722,Partes de repuesto para bombas de pozo,,0,17/07/2024,
40151723,Partes de repuesto para bombas de sumidero,,0,17/07/2024,
40151724,Partes de repuesto para bombas dosificadoras,,0,17/07/2024,
40151725,Partes de repuesto para bombas centrífugas,,0,17/07/2024,
40151726,Partes de repuesto para bombas de circulación,,0,17/07/2024,
40151727,Partes de repuesto para bombas rotatorias,,0,17/07/2024,
40151728,Kits de reparación de bombas,,0,17/07/2024,
40151729,Estator de bombas,,0,17/07/2024,
40151730,Impulsores de bombas,,0,17/07/2024,
40151731,Rotores de bombas,,0,17/07/2024,
40151732,Ejes de bombas,,0,17/07/2024,
40151733,Placas de asiento de bombas,,0,17/07/2024,
40151734,Placas de base de bombas,,0,17/07/2024,
40151735,Ensamblaje de columnas de bombas,,0,17/07/2024,
40151736,Tubos de columna de bombas,,0,17/07/2024,
40151737,Ensamblaje de caja de bombas,,0,17/07/2024,
40151738,Campana de succión de bombas,,0,17/07/2024,
40151739,Partes para bombas recíprocas,,0,17/07/2024,
40151800,Partes o accesorios de compresores,,0,17/07/2024,
40151801,Partes para compresores rotatorios,,0,17/07/2024,
40151802,Partes para compresores de aire,,0,17/07/2024,
40151803,Partes para compresores recíprocos,,0,17/07/2024,
40151804,Partes para compresores centrífugos,,0,17/07/2024,
40161500,Filtros,,0,17/07/2024,
40161501,Filtros al vacío,,0,17/07/2024,
40161502,Filtros de agua,,0,17/07/2024,
40161503,Recolectores de polvo,,0,17/07/2024,
40161504,Filtros de aceite,,0,17/07/2024,
40161505,Filtros de aire,,0,17/07/2024,
40161506,Maquinaria de filtrado,,0,17/07/2024,
40161507,Membranas de filtrado,,0,17/07/2024,
40161508,Filtros de bolsa,,0,17/07/2024,
40161509,Filtros de absorción,,0,17/07/2024,
40161511,Filtros coalescentes,,0,17/07/2024,
40161512,Filtros electrónicos,,0,17/07/2024,
40161513,Filtros de combustible,,0,17/07/2024,
40161514,Filtros para tuberías de gas,,0,17/07/2024,
40161515,Filtros hidráulicos,,0,17/07/2024,
40161516,Filtros en línea,,0,17/07/2024,
40161517,Filtros de luz,,0,17/07/2024,
40161518,Filtros de microfibra,,0,17/07/2024,
40161519,Filtros de panel,,0,17/07/2024,
40161520,Filtros de aletas radiales,,0,17/07/2024,
40161521,Bases para filtros,,0,17/07/2024,
40161522,Aletas para filtros,,0,17/07/2024,
40161524,Filtros de pintura,,0,17/07/2024,
40161525,Contenedores para filtros,,0,17/07/2024,
40161526,Retenedores o accesorios para filtros,,0,17/07/2024,
40161527,Kits de reparación de filtros,,0,17/07/2024,
40161528,Filtros de arena,,0,17/07/2024,
40161529,Filtros de tubo,,0,17/07/2024,
40161530,Filtros de cabina de aire,,0,17/07/2024,
40161531,Ensamblaje de filtros,,0,17/07/2024,
40161532,Malla para filtros,,0,17/07/2024,
40161533,Filtros para desechos sólidos,,0,17/07/2024,
40161600,Purificación,,0,17/07/2024,
40161601,Neutralizador (depurador) de aire,,0,17/07/2024,
40161602,Limpiadores de aire,,0,17/07/2024,
40161603,Máquinas limpiadoras de tubos y tuberías,,0,17/07/2024,
40161604,Regenerador de aceite,,0,17/07/2024,
40161605,Torre desodorizante,,0,17/07/2024,
40161606,Generador de ozono para limpiar el aire,,0,17/07/2024,
40161607,Sistema para desulfurar el gas de combustión,,0,17/07/2024,
40161608,Esterilizador de aire,,0,17/07/2024,
40161700,Separadores,,0,17/07/2024,
40161701,Centrífugas,,0,17/07/2024,
40161702,Lavador húmedo,,0,17/07/2024,
40161703,Eliminadores de niebla,,0,17/07/2024,
40161704,Hidrociclones,,0,17/07/2024,
40161705,Tamiz separador de partículas líquidas,,0,17/07/2024,
40161800,Medios de filtrado,,0,17/07/2024,
40161801,Medios de textiles metálicos,,0,17/07/2024,
40161802,Fieltros prensados,,0,17/07/2024,
40161803,Papeles filtrantes,,0,17/07/2024,
40161804,Ayudas filtrantes,Ayudas de filtro,0,17/07/2024,
40161805,Paño filtrante,,0,17/07/2024,
40161806,Malla filtrante,,0,17/07/2024,
40161807,Elemento (dispositivo poroso) filtrante,,0,17/07/2024,
40161808,Medio biológico filtrante,,0,17/07/2024,
40161809,Cartucho filtrante,,0,17/07/2024,
40171500,Tubos y tuberías comerciales,,0,17/07/2024,
40171501,Tubo de acero al carbono soldado para uso comercial,,0,17/07/2024,
40171502,Tubo de acero al carbono sin uniones para uso comercial,,0,17/07/2024,
40171503,Tubo de hierro dúctil para uso comercial,,0,17/07/2024,
40171504,Tubo de aleación de alto níquel para uso comercial,,0,17/07/2024,
40171505,Tubo de acero de alto rendimiento para uso comercial,,0,17/07/2024,
40171506,Tubo de aleación ferrosa para uso comercial,,0,17/07/2024,
40171507,Tubo de aluminio para uso comercial,,0,17/07/2024,
40171508,Tubo de latón para uso comercial,,0,17/07/2024,
40171509,Tubo de bronce para uso comercial,,0,17/07/2024,
40171510,Tubo de concreto para uso comercial,,0,17/07/2024,
40171511,Tubo de cobre para uso comercial,,0,17/07/2024,
40171512,Tubo de hierro forjado para uso comercial,,0,17/07/2024,
40171513,Concentrador de tubo de hierro forjado ensamblado para uso comercial,,0,17/07/2024,
40171514,Tubo de plomo para uso comercial,,0,17/07/2024,
40171515,Tubo de magnesio para uso comercial,,0,17/07/2024,
40171516,Tubo no ferroso para uso comercial,,0,17/07/2024,
40171517,Tubo pvc para uso comercial,,0,17/07/2024,
40171518,Tubo cpvc para uso comercial,,0,17/07/2024,
40171519,Tubo abs para uso comercial,,0,17/07/2024,
40171520,Tubo hdpe para uso comercial,,0,17/07/2024,
40171521,Tubo de acero inoxidable soldado para uso comercial,,0,17/07/2024,
40171522,Tubo de acero inoxidable sin uniones para uso comercial,,0,17/07/2024,
40171523,Tubo de latón para uso comercial,,0,17/07/2024,
40171524,Tubo de titanio para uso comercial,,0,17/07/2024,
40171525,Tubo de zinc para uso comercial,,0,17/07/2024,
40171526,Tubo de vidrio para uso comercial,,0,17/07/2024,
40171527,Tubo galvanizado corrugado soldado para uso comercial,,0,17/07/2024,
40171600,Tubos y tuberías industriales,,0,17/07/2024,
40171601,Tubo de acero al carbono soldado para uso industrial,,0,17/07/2024,
40171602,Tubo de acero al carbono sin uniones para uso industrial,,0,17/07/2024,
40171603,Tubo de hierro dúctil para uso industrial,,0,17/07/2024,
40171604,Tubo de aleación de alto níquel para uso industrial,,0,17/07/2024,
40171605,Tubo de acero de alto rendimiento para uso industrial,,0,17/07/2024,
40171606,Tubo de aleación ferrosa para uso industrial,,0,17/07/2024,
40171607,Tubo de aluminio para uso industrial,,0,17/07/2024,
40171608,Tubo de latón para uso industrial,,0,17/07/2024,
40171609,Tubo de bronce para uso industrial,,0,17/07/2024,
40171610,Tubo de concreto para uso industrial,,0,17/07/2024,
40171611,Tubo de cobre para uso industrial,,0,17/07/2024,
40171612,Tubo de hierro forjado para uso industrial,,0,17/07/2024,
40171613,Concentrador de tubo de hierro forjado ensamblado para uso industrial,,0,17/07/2024,
40171614,Tubo de plomo para uso industrial,,0,17/07/2024,
40171615,Tubo de magnesio para uso industrial,,0,17/07/2024,
40171616,Tubo no ferroso para uso industrial,,0,17/07/2024,
40171617,Tubo pvc para uso industrial,,0,17/07/2024,
40171618,Tubo cpvc para uso industrial,,0,17/07/2024,
40171619,Tubo abs para uso industrial,,0,17/07/2024,
40171620,Tubo hdpe para uso industrial,,0,17/07/2024,
40171621,Tubo de acero inoxidable soldado para uso industrial,,0,17/07/2024,
40171622,Tubo de acero inoxidable sin uniones para uso industrial,,0,17/07/2024,
40171623,Tubo de latón para uso industrial,,0,17/07/2024,
40171624,Tubo de titanio para uso industrial,,0,17/07/2024,
40171625,Tubo de zinc para uso industrial,,0,17/07/2024,
40171626,Tubo de vidrio para uso industrial,,0,17/07/2024,
40171700,Adaptadores de tubos,,0,17/07/2024,
40171701,Adaptador de tubo de latón,,0,17/07/2024,
40171702,Adaptador de tubo de acero al carbono,,0,17/07/2024,
40171703,Adaptador de tubo de hierro forjado,,0,17/07/2024,
40171704,Adaptador de tubo de hierro dúctil,,0,17/07/2024,
40171705,Adaptador de tubo de acero forjado,,0,17/07/2024,
40171706,Adaptador de tubo de hierro maleable,,0,17/07/2024,
40171707,Adaptador de tubo de acero inoxidable,,0,17/07/2024,
40171708,Adaptador de tubo plástico pvc,,0,17/07/2024,
40171709,Adaptador de tubo plástico cpvc,,0,17/07/2024,
40171710,Adaptador de tubo plástico abs,,0,17/07/2024,
40171711,Adaptador de tubo plástico hdpe,,0,17/07/2024,
40171900,Bridas de respaldo para tubos,,0,17/07/2024,
40171901,Brida de respaldo para tubos de acero al carbono,,0,17/07/2024,
40171902,Brida de respaldo para tubos de acero forjado,,0,17/07/2024,
40171903,Brida de respaldo para tubos de acero inoxidable,,0,17/07/2024,
40171904,Brida de respaldo para tubos de hierro dúctil,,0,17/07/2024,
40171905,Brida de respaldo para tubos de cobre,,0,17/07/2024,
40172000,Deflectores para tubos,,0,17/07/2024,
40172001,Deflectores para tubos de latón,Coples para tubos de latón,0,17/07/2024,
40172002,Deflectores para tubos de hierro dúctil,Coples para tubos de hierro dúctil,0,17/07/2024,
40172003,Deflectores para tubos de acero forjado,Coples para tubos de acero forjado,0,17/07/2024,
40172004,Deflectores para tubos de acero inoxidable,Coples para tubos de acero inoxidable,0,17/07/2024,
40172005,Deflectores para tubos de plástico pvc,Coples para tubos de plástico PVC,0,17/07/2024,
40172006,Deflectores para tubos de plástico cpvc,Coples para tubos de plástico cpvc,0,17/07/2024,
40172007,Deflectores para tubos de plástico abs,Coples para tubos de plástico ABS,0,17/07/2024,
40172008,Deflectores para tubos de plástico hdpe,Coples para tubos de plástico hdpe,0,17/07/2024,
40172100,Codos para tubos,,0,17/07/2024,
40172101,Codos para tubos de hierro forjado,,0,17/07/2024,
40172102,Codos para tubos de hierro maleable,,0,17/07/2024,
40172103,Codos para tubos de cobre,,0,17/07/2024,
40172200,Bridas ciegas para tubos,,0,17/07/2024,
40172201,Bridas ciegas para tubos de acero al carbono,,0,17/07/2024,
40172202,Bridas ciegas para tubos de hierro forjado,,0,17/07/2024,
40172203,Bridas ciegas para tubos de hierro dúctil,,0,17/07/2024,
40172204,Bridas ciegas para tubos de acero forjado,,0,17/07/2024,
40172205,Bridas ciegas para tubos de acero inoxidable,,0,17/07/2024,
40172206,Bridas ciegas para tubos de cobre,,0,17/07/2024,
40172300,Casquillos para tubos,,0,17/07/2024,
40172301,Casquillos para tubos de latón,,0,17/07/2024,
40172302,Casquillos para tubos de acero al carbono,,0,17/07/2024,
40172303,Casquillos para tubos de hierro forjado,,0,17/07/2024,
40172304,Casquillos para tubos de hierro dúctil,,0,17/07/2024,
40172305,Casquillos para tubos de acero forjado,,0,17/07/2024,
40172306,Casquillos para tubos de hierro maleable,,0,17/07/2024,
40172307,Casquillos para tubos de acero inoxidable,,0,17/07/2024,
40172308,Casquillos para tubos de plástico pvc,,0,17/07/2024,
40172309,Casquillos para tubos de plástico cpvc,,0,17/07/2024,
40172310,Casquillos para tubos de plástico abs,,0,17/07/2024,
40172311,Casquillos para tubos de plástico hdpe,,0,17/07/2024,
40172312,Casquillos para tubos de cobre,,0,17/07/2024,
40172313,Casquillos para tubos de caucho,,0,17/07/2024,
40172400,Tapas para tubos,,0,17/07/2024,
40172401,Tapa de tubo de latón,,0,17/07/2024,
40172402,Tapa de tubo de acero al carbono,,0,17/07/2024,
40172403,Tapa de tubo de hierro forjado,,0,17/07/2024,
40172404,Tapa de tubo de hierro dúctil,,0,17/07/2024,
40172405,Tapa de tubo de acero forjado,,0,17/07/2024,
40172406,Tapa de tubo de hierro maleable,,0,17/07/2024,
40172407,Tapa de tubo de acero inoxidable,,0,17/07/2024,
40172408,Tapa de tubo de plástico pvc,,0,17/07/2024,
40172409,Tapa de tubo de plástico cpvc,,0,17/07/2024,
40172410,Tapa de tubo de plástico abs,,0,17/07/2024,
40172411,Tapa de tubo de plástico hdpe,,0,17/07/2024,
40172412,Tapa de tubo de cobre,,0,17/07/2024,
40172413,Tapa de tubo de caucho,,0,17/07/2024,
40172500,Conectores de tubos,,0,17/07/2024,
40172501,Conector de tubo de latón,,0,17/07/2024,
40172502,Conector de tubo de acero al carbono,,0,17/07/2024,
40172503,Conector de tubo de hierro forjado,,0,17/07/2024,
40172504,Conector de tubo de hierro dúctil,,0,17/07/2024,
40172505,Conector de tubo de acero forjado,,0,17/07/2024,
40172506,Conector de tubo de hierro maleable,,0,17/07/2024,
40172507,Conector de tubo de acero inoxidable,,0,17/07/2024,
40172508,Conector de tubo de plástico pvc,,0,17/07/2024,
40172509,Conector de tubo de plástico cpvc,,0,17/07/2024,
40172510,Conector de tubo de plástico abs,,0,17/07/2024,
40172511,Conector de tubo de plástico hdpe,,0,17/07/2024,
40172512,Conector de tubo de plástico vidrio reforzado termoestable,,0,17/07/2024,
40172513,Conector de tubo flexible,,0,17/07/2024,
40172514,Conector de tubo pre aislado,,0,17/07/2024,
40172515,Conector de tubo de poli butileno,,0,17/07/2024,
40172516,Conector de tubo de polietileno,,0,17/07/2024,
40172517,Conector de tubo de polipropileno,,0,17/07/2024,
40172518,Conector de tubo de acero revestido,,0,17/07/2024,
40172519,Conector de tubo de aleación de aluminio y de aluminio,,0,17/07/2024,
40172520,Conector de tubo de clorhidrato de polivinilo rígido,,"0,1",17/07/2024,
40172521,Conector de tubo de cobre y de aleación de cobre,,0,17/07/2024,
40172522,Uniones de tubo flexible,,0,17/07/2024,
40172600,Acoples de tubos,,0,17/07/2024,
40172601,Acoples de tubos de latón,,0,17/07/2024,
40172602,Acoples de tubos de acero al carbono,,0,17/07/2024,
40172603,Acoples de tubos de hierro forjado,,0,17/07/2024,
40172604,Acoples de tubos de hierro dúctil,,0,17/07/2024,
40172605,Acoples de tubos de acero forjado,,0,17/07/2024,
40172606,Acoples de tubos de hierro maleable,,0,17/07/2024,
40172607,Acoples de tubos de acero inoxidable,,0,17/07/2024,
40172608,Acoples de tubos de plástico pvc,,0,17/07/2024,
40172609,Acoples de tubos de plástico cpvc,,0,17/07/2024,
40172610,Acoples de tubos abs,,0,17/07/2024,
40172611,Acoples de tubos de plástico hdpe,,0,17/07/2024,
40172612,Acoples de tubos de cobre,,0,17/07/2024,
40172700,Cruces de tubos,,0,17/07/2024,
40172701,Cruces de tubos de latón,,0,17/07/2024,
40172702,Cruces de tubos de acero al carbono,,0,17/07/2024,
40172703,Cruces de tubos de hierro forjado,,0,17/07/2024,
40172704,Cruces de tubos de hierro dúctil,,0,17/07/2024,
40172705,Cruces de tubos de acero forjado,,0,17/07/2024,
40172706,Cruces de tubos de hierro maleable,,0,17/07/2024,
40172707,Cruces de tubos de acero inoxidable,,0,17/07/2024,
40172708,Cruces de tubos de plástico pvc,,0,17/07/2024,
40172709,Cruces de tubos de plástico cpvc,,0,17/07/2024,
40172710,Cruces de tubos de plástico abs,,0,17/07/2024,
40172711,Cruces de tubos de plástico hdpe,,0,17/07/2024,
40172712,Cruces de tubos de cobre,,0,17/07/2024,
40172800,Codos de tubos,,0,17/07/2024,
40172801,Codos para tubos de latón,,0,17/07/2024,
40172802,Codos para tubos de acero al carbono,,0,17/07/2024,
40172803,Codos para tubos de hierro forjado,,0,17/07/2024,
40172804,Codos para tubos de hierro dúctil,,0,17/07/2024,
40172805,Codos para tubos de acero forjado,,0,17/07/2024,
40172806,Codos para tubos de hierro maleable,,0,17/07/2024,
40172807,Codos para tubos de acero inoxidable,,0,17/07/2024,
40172808,Codos para tubos de plástico pvc,,0,17/07/2024,
40172809,Codos para tubos de plástico cpvc,,0,17/07/2024,
40172810,Codos para tubos de plástico abs,,0,17/07/2024,
40172811,Codos para tubos de plástico hdpe,,0,17/07/2024,
40172812,Codos para tubos de cobre,,0,17/07/2024,
40172900,Uniones de extensión de tubos,Uniones o niples de extensión de tubos,0,17/07/2024,
40172901,Uniones de extensión para tubos de acero al carbono,Uniones o niples de extensión para tubos de acero al carbono,0,17/07/2024,
40172902,Uniones de extensión para tubos de hierro forjado,Uniones o niples de extensión para tubos de hierro forjado,0,17/07/2024,
40172903,Uniones de extensión para tubos de hierro dúctil,Uniones o niples de extensión para tubos de hierro dúctil,0,17/07/2024,
40172904,Uniones de extensión para tubos de acero forjado,Uniones o niples de extensión para tubos de acero forjado,0,17/07/2024,
40172905,Uniones de extensión para tubos de acero inoxidable,Uniones o niples de extensión para tubos de acero inoxidable,0,17/07/2024,
40172906,Uniones de extensión para tubos de plástico pvc,Uniones o niples de extensión para tubos de plástico PVC,0,17/07/2024,
40172907,Uniones de extensión para tubos de plástico cpvc,Uniones o niples de extensión para tubos de plástico cpvc,0,17/07/2024,
40172908,Uniones de extensión para tubos de plástico abs,Uniones o niples de extensión para tubos de plástico ABS,0,17/07/2024,
40172909,Uniones de extensión para tubos de plástico hdpe,Uniones o niples de extensión para tubos de plástico hdpe,0,17/07/2024,
40172910,Uniones de extensión para tubos de caucho,Uniones o niples de extensión para tubos de caucho,0,17/07/2024,
40172911,Uniones de extensión para tubos de cobre,Uniones o niples de extensión para tubos de cobre,0,17/07/2024,
40173000,Semiacoplamientos de tubería,Reducciones para tubos,0,17/07/2024,
40173001,Semiacoplamientos para tubos de latón,Reducciones de latón,0,17/07/2024,
40173002,Semiacoplamientos para tubos de acero al carbono,Reducciones de acero al carbono,0,17/07/2024,
40173003,Semiacoplamientos para tubos de acero forjado,Reducciones de acero forjado,0,17/07/2024,
40173004,Semiacoplamientos para tubos de hierro maleable,Reducciones de hierro maleable,0,17/07/2024,
40173005,Semiacoplamientos para tubos de acero inoxidable,Reducciones de acero inoxidable,0,17/07/2024,
40173006,Semiacoplamientos para tubos de plástico pvc,Reducciones de plástico PVC,0,17/07/2024,
40173007,Semiacoplamientos para tubos de plástico cpvc,Reducciones de plástico cpvc,0,17/07/2024,
40173008,Semiacoplamientos para tubos de plástico abs,Reducciones de plástico ABS,0,17/07/2024,
40173009,Semiacoplamientos para tubos de plástico hdpe,Reducciones de plástico hdpe,0,17/07/2024,
40173100,Brida de junta de empalme para tubos,Juntas de unión para tubos,0,17/07/2024,
40173101,Brida de junta de empalme para tubos de acero al carbono,Junta de unión para tubos de acero al carbono,0,17/07/2024,
40173102,Brida de junta de empalme para tubos de acero forjado,Junta de unión para tubos de acero forjado,0,17/07/2024,
40173103,Brida de junta de empalme para tubos de acero inoxidable,Junta de unión para tubos de acero inoxidable,0,17/07/2024,
40173104,Brida de junta de empalme para tubos de cobre,Junta de unión para tubos de cobre,0,17/07/2024,
40173200,Bridas cuello largas para soldar,Juntas de cuello largo para soldar,0,17/07/2024,
40173201,Bridas cuello largas para soldar para tubos de acero al carbono,Junta de cuello largo para soldar para tubos de acero al carbono,0,17/07/2024,
40173202,Bridas cuello largas para soldar para tubos de acero forjado,Junta de cuello largo para soldar para tubos de acero forjado,0,17/07/2024,
40173203,Bridas cuello largas para soldar para tubos de acero inoxidable,Junta de cuello largo para soldar para tubos de acero inoxidable,0,17/07/2024,
40173300,Boquillas de tubos,,0,17/07/2024,
40173301,Boquillas para tubos de latón,,0,17/07/2024,
40173302,Boquillas para tubos de acero al carbono,,0,17/07/2024,
40173303,Boquillas para tubos de acero inoxidable,,0,17/07/2024,
40173304,Boquillas para tubos de plástico pvc,,0,17/07/2024,
40173305,Boquillas para tubos de plástico cpvc,,0,17/07/2024,
40173306,Boquillas para tubos de plástico abs,,0,17/07/2024,
40173307,Boquillas para tubos de plástico hdpe,,0,17/07/2024,
40173400,Bridas de plato,,0,17/07/2024,
40173401,Bridas de plato para tubos de latón,,0,17/07/2024,
40173402,Bridas de plato para tubos de acero al carbono,,0,17/07/2024,
40173403,Bridas de plato para tubos de hierro forjado,,0,17/07/2024,
40173404,Bridas de plato para tubos de hierro dúctil,,0,17/07/2024,
40173405,Bridas de plato para tubos de hierro maleable,,0,17/07/2024,
40173406,Bridas de plato para tubos de acero inoxidable,,0,17/07/2024,
40173407,Bridas de plato para tubos de plástico abs,,0,17/07/2024,
40173408,Bridas de plato para tubos de plástico pvc,,0,17/07/2024,
40173409,Bridas de plato para tubos de cobre,,0,17/07/2024,
40173500,Tapones para tubos,,0,17/07/2024,
40173501,Tapones para tubos de latón,,0,17/07/2024,
40173502,Tapones para tubos de acero al carbono,,0,17/07/2024,
40173503,Tapones para tubos de hierro forjado,,0,17/07/2024,
40173504,Tapones para tubos de hierro dúctil,,0,17/07/2024,
40173505,Tapones para tubos de acero forjado,,0,17/07/2024,
40173506,Tapones para tubos de hierro maleable,,0,17/07/2024,
40173507,Tapones para tubos de acero inoxidable,,0,17/07/2024,
40173508,Tapones para tubos de plástico pvc,,0,17/07/2024,
40173509,Tapones para tubos de plástico cpvc,,0,17/07/2024,
40173510,Tapones para tubos de plástico abs,,0,17/07/2024,
40173511,Tapones para tubos de plástico hdpe,,0,17/07/2024,
40173512,Tapones para tubos de cobre,,0,17/07/2024,
40173513,Tapones para tubos de caucho,,0,17/07/2024,
40173600,Acoplamientos reductores para tubos,Coples reductores,0,17/07/2024,
40173601,Acoplamiento reductor para tubos de latón,Cople reductor para tubos de latón,0,17/07/2024,
40173602,Acoplamiento reductor para tubos de acero al carbono,Cople reductor para tubos de acero al carbono,0,17/07/2024,
40173603,Acoplamiento reductor para tubos de hierro forjado,Cople reductor para tubos de hierro forjado,0,17/07/2024,
40173604,Acoplamiento reductor para tubos de hierro dúctil,Cople reductor para tubos de hierro dúctil,0,17/07/2024,
40173605,Acoplamiento reductor para tubos de acero forjado,Cople reductor para tubos de acero forjado,0,17/07/2024,
40173606,Acoplamiento reductor para tubos de hierro maleable,Cople reductor para tubos de hierro maleable,0,17/07/2024,
40173607,Acoplamiento reductor para tubos de acero inoxidable,Cople reductor para tubos de acero inoxidable,0,17/07/2024,
40173608,Acoplamiento reductor para tubos de plástico pvc,Cople reductor para tubos de plástico PVC,0,17/07/2024,
40173609,Acoplamiento reductor para tubos de plástico cpvc,Cople reductor para tubos de plástico cpvc,0,17/07/2024,
40173610,Acoplamiento reductor para tubos de plástico abs,,0,17/07/2024,
40173611,Acoplamiento reductor para tubos de plástico hdpe,,0,17/07/2024,
40173612,Acoplamiento reductor para tubos de caucho,Cople reductor para tubos de caucho,0,17/07/2024,
40173613,Acoplamiento reductor para tubos de cobre,Cople reductor para tubos de cobre,0,17/07/2024,
40173800,Abrazaderas de reparación para tubos,,0,17/07/2024,
40173801,Abrazadera de reparación para tubos de hierro forjado,,0,17/07/2024,
40173802,Abrazadera de reparación para tubos de hierro dúctil,,0,17/07/2024,
40173803,Abrazadera de reparación para tubos de acero forjado,,0,17/07/2024,
40173804,Abrazadera de reparación para tubos de acero inoxidable,,0,17/07/2024,
40173805,Abrazadera de reparación para tubos de plástico pvc,,0,17/07/2024,
40173806,Abrazadera de reparación para tubos de plástico cpvc,,0,17/07/2024,
40173807,Abrazadera de reparación para tubos de plástico abs,,0,17/07/2024,
40173808,Abrazadera de reparación para tubos de plástico hdpe,,0,17/07/2024,
40173900,Disco de ruptura para tubos,,0,17/07/2024,
40173901,Disco de ruptura para tubos de acero al carbono,,0,17/07/2024,
